Sample name (1-20);Loss On;SiO2;Al2O3;Fe2O3;Mn;MgO;CaO;Na2O;K2O;P2O5;SO3;V;Cr;Sr;Zr;BaO;NiO;CuO;ZnO;Pb;Rb;F;Mo;Co;La;Ce;W;Y;Ga;Ge;Bi;As;Nb;Cd;Sn;Sb;Cs;Nd;Ta;TiO2
;%;%;%;%;%;%;%;%;%;%;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%
TB;3.68;59.977;20.39;6.819;0.078;1.836;0.212;1.69;3.971;0.158;0.045;69.56;90.77;147.038;182.245;878.444;46.502;61.198;116.55;9.854;180.89;154.484;9.599;14.063;-7.848;182.375;33.597;40.766;27.83;1.524;1.403;16.254;21.782;-0.786;59.65;41.675;25.472;55.519;7.953;0.897
GM;0.69;73.673;13.517;1.95;0.02;0.299;0.979;3.621;4.875;0.057;0.03;-27.438;11.208;137.846;138.61;389.422;-10.952;17.281;31.499;38.46;253.804;-153.485;11.462;-63.035;-53.673;-7.805;-4.496;32.275;11.101;0.074;-8.379;-30.83;26.352;-7.771;56.984;41.289;-2.848;19.505;-7.719;0.204
BM;4.5;49.599;16.092;9.607;0.106;7.396;6.261;4.777;0.166;0.112;0.044;169.11;120.14;239.629;96.257;231.842;73.081;69.567;146.79;15.106;1.839;996.304;-7.104;57.063;-18.781;-5.1;25.507;21.089;17.792;0.557;-7.234;-13.591;-8.811;-18.155;-107.93;-8.27;25.632;29.845;8.931;1.125
24_2023_VE-15.3;4.83;56.672;22.057;5.178;0.056;2.711;0.861;0.124;6.309;0.157;0.003;142.084;147.25;39.389;141.209;669.109;70.039;793.556;70.158;0.729;266.07;-1321.619;-4.09;-14.98;-8.81;121.107;9.041;24.69;24.853;0.216;-14.269;-35.636;13.499;-5.23;-135.599;-6.826;-17.896;38.475;0.186;0.942
24_2023_VE-15.3;4.83;56.642;22.03;5.182;0.056;2.722;0.87;0.149;6.322;0.16;0.007;137.584;153.149;31.136;139.675;657.03;73.104;83.593;68.014;0.144;263.217;-1004.397;8.94;-14.479;-9.63;109.581;2.201;30.392;25.182;0.266;-13.537;-24.191;22.856;16.896;78.075;63.182;-5.796;34.916;-1.125;0.938
24_2023_SA-4.3-I;10.22;53.076;21.224;7.254;0.084;2.235;0.186;0.988;3.646;0.132;0.026;91.105;120.007;77.866;187.361;910.832;49.83;136.755;56.388;0.184;137.6;-1334.732;-11.306;28.723;-16.667;178.578;-9.26;34.56;15.926;-1.656;-38.756;-75.393;1.489;-6.125;-66.247;7.226;-36.156;41.626;-9.416;0.882
24_2023_VE-30A.3;8.54;57.885;17.14;5.653;0.047;2.772;3.004;-0.055;4.137;0.118;0.043;110.27;114.16;47.571;117.973;486.754;85.754;84.286;76.469;3.197;177.167;-1274.448;1.593;6.798;-28.655;56.499;-2.565;20.764;15.423;-0.304;-21.112;-48.494;8.497;8.636;48.655;43.42;-18.401;34.131;-3.551;0.702
24_2023_VE-30A.3;8.54;57.875;17.134;5.662;0.047;2.772;2.969;-0.064;4.158;0.121;0.064;112.834;111.67;52.758;117.395;498.801;84.69;91.85;85.632;5.898;180.031;-1179.609;0.706;6.98;-21.597;58.18;-1.225;21.229;15.114;-0.41;-22.228;-44.093;8.469;-3.904;-25.87;18.993;-12.818;33.039;-3.369;0.703
24_2023_CA1-2;15.86;45.701;14.62;5.222;0.055;2.256;12.294;0.291;2.325;0.223;0.474;88.157;115.476;445.903;137.34;332.718;37.902;371.934;106.127;16.011;89.411;-1603.262;-6.549;-20.549;-41.165;3.465;-12.241;10.871;6.808;-1.781;-39.196;-114.828;-4.331;4.479;-44.051;18.603;-26.504;13.489;-11.081;0.692
24_2023_CA1;15.86;45.595;14.596;5.203;0.055;2.266;12.281;0.265;2.314;0.224;0.571;88.943;108.823;472.655;141.543;324.945;49.305;329.774;108.024;10.945;87.851;-749.962;-8.04;-20.285;-37.126;6.585;-12.993;10.838;7.133;-1.669;-39.255;-110.338;-3.319;6.517;-38.756;25.681;-14.138;16.136;-7.64;0.695
24_2023_GK-5/8;1.37;75.369;13.467;1.343;0.014;0.451;0.218;1.152;6.411;0.036;0.003;-44.035;-3.467;19.29;44.898;72.206;-14.831;33.255;16.468;18.373;643.138;208.381;15.001;-48.435;-59.305;-102.773;162.231;83.647;24.501;2.192;0.622;37.945;38.002;4.246;123.57;56.3;2.475;9.875;2.665;0.03
24_2023_GK-2/5;1.52;75.294;13.646;1.3;0.014;0.466;0.257;1.283;6.074;0.035;0.003;-40.717;-6.779;-11.789;53.536;61.758;-9.612;26.685;22.795;15.828;582.247;-116.475;15.657;-53.256;-62.544;-110.535;90.414;85.5;23.874;1.731;-0.145;40.187;38.103;-0.345;73.828;39.228;-0.858;11.566;-1.645;0.031
